Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Psycho-Pass Movie,Movie,1,Finished Airing,1/9/2015,null,null,null,"{dentsu,nitroplus,kyoraku industrial holdings}",{funimation},Production I.G,Original,"{action,military,police,sci-fi}",113,R,7.87,64361,133969,389
Seitokai Yakuindomo OVA,OVA,8,Finished Airing,4/15/2011,10/17/2013,null,null,{starchild records},null,GoHands,4-koma manga,"{comedy,school,shounen,slice of life}",26,R,7.87,40394,78891,94
Tamayura: Sotsugyou Shashin Part 3 - Akogare,Movie,1,Finished Airing,11/28/2015,null,null,null,"{shochiku,flying dog}",null,TYO Animations,Original,"{comedy,drama,slice of life}",51,G,7.87,1358,4501,6
Detective Conan Movie 16: The Eleventh Striker,Movie,1,Finished Airing,4/14/2012,null,null,null,null,null,TMS Entertainment,Manga,"{adventure,comedy,mystery,police,shounen,sports}",110,G,7.86,11922,20463,23
Free!: Eternal Summer,TV,13,Finished Airing,7/3/2014,9/25/2014,Summer,4,"{lantis,iwatobi high school swimming club,asahi broadcasting}",{funimation},"Kyoto Animation,Animation Do",Original,"{slice of life,comedy,sports,drama,school}",24,PG-13,7.86,107789,197957,2453
Ghost in the Shell: Stand Alone Complex - Solid State Society 3D,Movie,1,Finished Airing,3/26/2011,null,null,null,null,null,Production I.G,-,"{police,mecha,military,mystery,sci-fi,seinen}",108,R,7.86,2689,9980,12
Hakuouki Movie 1: Kyoto Ranbu,Movie,1,Finished Airing,8/24/2013,null,null,null,"{geneon universal entertainment,frontier works,klockworx}",{sentai filmworks},Studio Deen,Visual novel,"{action,historical,supernatural,drama,samurai,josei}",95,PG-13,7.86,4978,16510,67
Hayate no Gotoku!!,TV,25,Finished Airing,4/4/2009,9/19/2009,Spring,null,"{tv tokyo,geneon universal entertainment,shogakukan productions,shogakukan music & digital entertainment}",{sentai filmworks},J.C.Staff,Manga,"{action,harem,comedy,parody,romance,shounen}",24,PG-13,7.86,39866,78761,515
Hetalia World Series,ONA,48,Finished Airing,3/26/2010,3/11/2011,null,null,{frontier works},{funimation},Studio Deen,Web manga,"{comedy,historical,parody}",5,PG-13,7.86,37525,76120,1097
Hetalia: The Beautiful World Specials,Special,4,Finished Airing,4/24/2013,10/30/2013,null,null,{frontier works},{funimation},Studio Deen,-,"{comedy,historical,parody}",5,PG-13,7.86,4465,11493,30
K-On!,TV,13,Finished Airing,4/3/2009,6/26/2009,Spring,5,"{pony canyon,tbs,movic,rakuonsha,animation do}","{bandai entertainment,sentai filmworks}",Kyoto Animation,4-koma manga,"{slice of life,comedy,music,school}",24,PG-13,7.86,279069,494347,13472
Kono Subarashii Sekai ni Shukufuku wo! OVA,OVA,1,Finished Airing,6/24/2016,null,null,null,{half h.p studio},null,Studio Deen,Light novel,"{adventure,comedy,supernatural,magic,fantasy}",23,PG-13,7.86,74516,117685,205
Mobile Suit Gundam Wing: Endless Waltz,OVA,3,Finished Airing,1/25/1997,7/25/1997,null,null,"{bandai visual,sotsu}",{bandai entertainment},Sunrise,Original,"{action,drama,mecha,military,sci-fi,space}",30,PG-13,7.86,19696,32853,191
Pandora Hearts,TV,25,Finished Airing,4/3/2009,9/25/2009,Spring,null,"{square enix,tbs,flying dog}","{nis america, inc.}",Xebec,Manga,"{adventure,fantasy,mystery,shounen,supernatural}",24,PG-13,7.86,116611,279476,5059
Sexy Commando Gaiden: Sugoiyo!! Masaru-san,TV,48,Finished Airing,1/5/1998,3/31/1998,Winter,null,"{madhouse,bandai visual}",null,Magic Bus,Manga,"{comedy,martial arts,school,shounen}",8,R,7.86,2189,7811,115
Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,TV,12,Finished Airing,4/11/2017,6/27/2017,Spring,2,"{lantis,kadokawa shoten,at-x,dax production,klockworx,kadokawa media house,production ace}",{funimation},"Satelight,C2C",Light novel,"{sci-fi,drama,romance,fantasy}",24,PG-13,7.86,70512,147999,1778
Tegamibachi Reverse,TV,25,Finished Airing,10/3/2010,3/26/2011,Fall,0,{tv tokyo},{sentai filmworks},Studio Pierrot,Manga,"{adventure,supernatural,fantasy,shounen}",20,PG-13,7.86,19080,42627,199
Yamato Nadeshiko Shichihenge♥,TV,25,Finished Airing,10/4/2006,3/28/2007,Fall,null,null,"{adv films,funimation}",Nippon Animation,Manga,"{comedy,shoujo}",24,PG-13,7.86,56405,105957,2188
Aoi Bungaku Series,TV,12,Finished Airing,10/11/2009,12/27/2009,Fall,null,"{movic,happinet pictures,ray}",null,Madhouse,Novel,"{psychological,historical,thriller,drama,seinen}",22,R,7.85,37103,117797,1075
Densetsu Kyojin Ideon: Hatsudou-hen,Movie,1,Finished Airing,7/10/1982,null,null,null,null,null,Sunrise,-,"{drama,mecha,sci-fi,space}",98,PG-13,7.85,1538,3988,64
Drifters: Special Edition,OVA,1,Finished Airing,6/6/2016,null,null,null,{nbcuniversal entertainment japan},null,Hoods Drifters Studio,Manga,"{action,adventure,comedy,fantasy,historical,samurai,seinen}",41,R,7.85,9418,18441,17
Hana yori Dango,TV,51,Finished Airing,9/8/1996,8/31/1997,Fall,null,null,"{viz media,discotek media}",Toei Animation,Manga,"{drama,romance,school,shoujo}",25,PG-13,7.85,14351,34561,621
Hidamari Sketch x SP,Special,2,Finished Airing,10/30/2011,11/6/2011,null,null,"{aniplex,lantis,tbs,movic,houbunsha}",{sentai filmworks},Shaft,4-koma manga,"{slice of life,comedy,school,seinen}",24,PG-13,7.85,4652,9424,7
Hoozuki no Reitetsu,TV,13,Finished Airing,1/10/2014,4/4/2014,Winter,5,"{starchild records,mainichi broadcasting system,kodansha}",{sentai filmworks},Wit Studio,Manga,"{comedy,demons,supernatural,fantasy,seinen}",24,PG-13,7.85,24749,71999,746
Kidou Keisatsu Patlabor 2 the Movie,Movie,1,Finished Airing,8/7/1993,null,null,null,"{bandai visual,vap,shochiku,tohokushinsha film corporation}","{maiden japan,bandai visual usa}","Production I.G,Production Reed",Original,"{sci-fi,mystery,police,drama,mecha}",108,PG-13,7.85,7475,15515,258
Kino no Tabi: Nanika wo Suru Tame ni - Life Goes On.,Movie,1,Finished Airing,2/19/2005,null,null,null,null,null,A.C.G.T.,Light novel,"{adventure,drama,fantasy}",29,R,7.85,16877,35019,40
Mind Game,Movie,1,Finished Airing,8/7/2004,null,null,null,{beyond c.},{gkids},Studio 4°C,Manga,"{adventure,comedy,dementia,psychological,romance}",104,R,7.85,16880,41888,600
Mobile Suit Gundam III: Encounters in Space,Movie,1,Finished Airing,3/13/1982,null,null,null,{sotsu},"{nozomi entertainment,bandai entertainment}",Sunrise,Original,"{action,military,sci-fi,adventure,space,drama,mecha}",140,PG-13,7.85,8221,14666,57
One Punch Man Specials,Special,6,Finished Airing,12/24/2015,5/27/2016,null,null,null,{viz media},Madhouse,Web manga,"{action,comedy,parody,sci-fi,seinen,super power,supernatural}",12,R,7.85,64539,121508,209
Oniisama e...,TV,39,Finished Airing,7/14/1991,5/31/1992,Summer,0,{nhk},null,Tezuka Productions,Manga,"{psychological,drama,school,shoujo,shoujo ai}",25,PG-13,7.85,4092,16167,344
Slayers,TV,26,Finished Airing,4/7/1995,9/29/1995,Spring,5,"{j.c.staff,tv tokyo,softx,tv tokyo music}","{funimation,central park media,enoki films}",E&G Films,Light novel,"{adventure,comedy,demons,magic,fantasy}",22,PG-13,7.85,42337,88367,1697
Tantei Gakuen Q,TV,45,Finished Airing,4/15/2003,3/20/2004,Spring,null,"{group tac,kodansha}",null,Studio Pierrot,Manga,"{comedy,drama,mystery,police,shounen}",25,PG-13,7.85,8885,20329,185
Uchiage Hanabi,Music,1,Finished Airing,8/9/2017,null,null,null,null,null,Shaft,Other,{music},4,G,7.85,3044,5333,18
Ueki no Housoku,TV,51,Finished Airing,4/4/2005,3/27/2006,Spring,1,"{shogakukan productions,studio izena,studio tulip,tv tokyo music}","{funimation,geneon entertainment usa}",Studio Deen,Manga,"{adventure,comedy,supernatural,drama,shounen}",23,PG-13,7.85,31376,73895,744
Yamada-kun to 7-nin no Majo (TV),TV,12,Finished Airing,4/12/2015,6/28/2015,Spring,0,"{dentsu,frontier works,kodansha,rakuonsha,ultra super pictures,memory-tech,daiichikosho,lawson hmv entertainment,amuse,animatic,a-sketch}","{funimation,crunchyroll}",LIDENFILMS,Manga,"{harem,mystery,comedy,supernatural,romance,school,shounen}",24,PG-13,7.85,175927,310853,2229
Ao no Exorcist,TV,25,Finished Airing,4/17/2011,10/2/2011,Spring,0,"{aniplex,dentsu,mainichi broadcasting system,movic,sakura create,shueisha}",{aniplex of america},A-1 Pictures,Manga,"{action,demons,fantasy,shounen,supernatural}",24,PG-13,7.84,514321,849566,13056
Arashi no Yoru ni,Movie,1,Finished Airing,12/10/2005,null,null,null,"{shogakukan productions,mainichi broadcasting system,tbs,toho,sedic international,hakuhodo dy music & pictures,mainichi shimbun}",null,Group TAC,Book,"{adventure,comedy,drama,fantasy}",107,G,7.84,6714,13907,157
Black Jack,OVA,12,Finished Airing,12/21/1993,12/16/2011,null,null,"{animax,akita shoten}",{central park media},Tezuka Productions,Manga,{drama},50,PG-13,7.84,5678,19092,201
Bokura wa Minna Kawai-sou,TV,12,Finished Airing,4/4/2014,6/20/2014,Spring,null,{tbs},{sentai filmworks},Brain's Base,Manga,"{slice of life,comedy,romance,school}",24,PG-13,7.84,113467,212209,1495
Bungou Stray Dogs: Dead Apple,Movie,1,Finished Airing,3/3/2018,null,null,null,null,null,Bones,Manga,"{action,comedy,mystery,supernatural}",null,None,7.85,190,22477,73
Chuunibyou demo Koi ga Shitai! Movie: Take On Me,Movie,1,Finished Airing,1/6/2018,null,null,null,null,null,Kyoto Animation,Light novel,"{slice of life,comedy,drama,romance,school}",98,PG-13,7.84,872,43730,105
Durarara!!x2 Shou: Watashi no Kokoro wa Nabe Moyou,Special,1,Finished Airing,7/22/2015,null,null,null,null,{aniplex of america},Shuka,Light novel,"{action,mystery,supernatural}",23,R,7.84,13771,34216,38
Ie Naki Ko,TV,51,Finished Airing,10/2/1977,10/1/1978,Fall,null,null,null,"Madhouse,TMS Entertainment",Novel,"{adventure,drama,historical,kids,slice of life}",24,G,7.84,1930,6205,79
Jin-Rou,Movie,1,Finished Airing,11/17/1999,null,null,null,null,"{bandai entertainment,discotek media}",Production I.G,Manga,"{military,police,psychological,drama,romance}",102,R,7.84,40252,84009,962
Kyou kara Maou!,TV,78,Finished Airing,4/3/2004,2/25/2006,Spring,null,{nhk},{geneon entertainment usa},Studio Deen,Light novel,"{adventure,comedy,demons,fantasy,shoujo}",25,PG-13,7.84,24861,68933,1285
Mobile Suit Gundam Wing,TV,49,Finished Airing,4/7/1995,3/29/1996,Spring,5,{tv asahi},{bandai entertainment},Sunrise,Original,"{action,military,sci-fi,space,drama,mecha}",24,PG-13,7.84,59497,101945,2213
Nurarihyon no Mago OVA,OVA,2,Finished Airing,12/4/2012,3/4/2013,null,null,null,null,Studio Deen,Manga,"{action,demons,shounen,supernatural}",23,PG-13,7.84,6548,14829,16
Ranma ½ OVA,OVA,6,Finished Airing,10/21/1993,8/19/1994,null,null,"{pony canyon,fuji tv}",{viz media},-,-,"{comedy,martial arts,romance,shounen}",30,PG-13,7.84,10667,19862,54
The Disappearance of Conan Edogawa: The Worst Two Days in History,Special,1,Finished Airing,12/26/2014,null,null,null,null,null,TMS Entertainment,Manga,"{adventure,police,comedy,mystery,shounen}",91,PG-13,7.84,2932,5744,5
The Perfect World,Music,1,Finished Airing,2/22/2018,null,null,null,null,null,-,Original,{music},2,G,7.85,1189,2789,17
Yuru Yuri Nachuyachumi!+,Special,2,Finished Airing,8/21/2015,9/18/2015,null,null,null,null,TYO Animations,Manga,"{slice of life,comedy,shoujo ai}",24,PG-13,7.84,15601,29039,76
Ao Haru Ride,TV,12,Finished Airing,7/8/2014,9/23/2014,Summer,2,"{mainichi broadcasting system,movic,sony music entertainment,toho animation,shueisha,bs11,animatic,hakuhodo dy media partners,sony pcl}",{sentai filmworks},Production I.G,Manga,"{comedy,drama,romance,school,shoujo,slice of life}",23,PG-13,7.83,181946,328988,4624
Binbougami ga!,TV,13,Finished Airing,7/5/2012,9/27/2012,Summer,null,"{tv tokyo,bandai visual,dentsu,trinity sound,sony music entertainment,studio jack,shueisha}",{funimation},Sunrise,Manga,"{comedy,parody,shounen,supernatural}",23,PG-13,7.83,74873,149318,1018
Bishoujo Senshi Sailor Moon Crystal Season III,TV,13,Finished Airing,4/4/2016,6/27/2016,Spring,1,"{starchild records,kodansha}",{viz media},Toei Animation,Manga,"{demons,magic,romance,shoujo}",24,PG-13,7.83,11544,25300,211
Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka,TV,13,Finished Airing,4/4/2015,6/27/2015,Spring,6,"{genco,movic,warner bros.,klockworx,softbank creative corp.,showgate,mages.,furyu}",{sentai filmworks},J.C.Staff,Light novel,"{action,adventure,comedy,romance,fantasy}",24,PG-13,7.83,337790,551863,6030
Genshiken 2,TV,12,Finished Airing,10/10/2007,12/26/2007,Fall,null,"{genco,lantis,media factory,kids station,magic capsule,palm studio,showgate}",{media blasters},Arms,Manga,"{comedy,parody,slice of life}",24,R,7.83,34918,62235,180
Hai to Gensou no Grimgar,TV,12,Finished Airing,1/11/2016,3/28/2016,Winter,1,{toho animation},{funimation},A-1 Pictures,Light novel,"{action,adventure,drama,fantasy}",24,PG-13,7.83,176475,335888,3314
Lucky☆Star,TV,24,Finished Airing,4/8/2007,9/17/2007,Spring,1,"{lantis,rakuonsha,lucky paradise}","{funimation,bandai entertainment,kadokawa pictures usa}",Kyoto Animation,4-koma manga,"{slice of life,comedy,parody,school}",24,PG-13,7.83,186966,375644,9294
One Punch Man: Road to Hero,OVA,1,Finished Airing,12/4/2015,null,null,null,null,null,Madhouse,Web manga,"{action,sci-fi,comedy,parody,super power,supernatural,seinen}",24,R,7.83,85960,141639,251
Shaman King,TV,64,Finished Airing,7/4/2001,9/25/2002,Summer,3,"{tv tokyo,nihon ad systems,tv tokyo music}",{4kids entertainment},Xebec,Manga,"{action,adventure,comedy,supernatural,drama,shounen}",23,PG-13,7.83,119671,213257,2812
Tamayura: Sotsugyou Shashin Part 2 - Hibiki,Movie,1,Finished Airing,8/29/2015,null,null,null,"{shochiku,flying dog}",null,TYO Animations,Original,"{comedy,drama,slice of life}",52,G,7.83,1494,4735,4
Toaru Kagaku no Railgun,TV,24,Finished Airing,10/3/2009,3/20/2010,Fall,null,"{geneon universal entertainment,movic,at-x,ascii media works,project railgun}",{funimation},J.C.Staff,Manga,"{action,sci-fi,super power}",24,PG-13,7.83,141326,290091,3556
Ao no Exorcist Movie,Movie,1,Finished Airing,12/28/2012,null,null,null,"{aniplex,shueisha}",{aniplex of america},A-1 Pictures,Manga,"{action,demons,fantasy,shounen,supernatural}",88,PG-13,7.82,77323,144021,297
Arakawa Under the Bridge x Bridge,TV,13,Finished Airing,10/4/2010,12/27/2010,Fall,null,"{square enix,starchild records,tv tokyo music,gansis}","{nis america, inc.}",Shaft,Manga,"{comedy,romance,seinen}",23,PG-13,7.82,53438,100740,343
Arslan Senki (TV),TV,25,Finished Airing,4/5/2015,9/27/2015,Spring,0,"{dentsu,mainichi broadcasting system,kodansha,magic capsule,ultra super pictures,graphinica,nbcuniversal entertainment japan}",{funimation},"SANZIGEN,LIDENFILMS",Manga,"{action,adventure,historical,drama,fantasy,shounen}",24,R,7.82,92278,210332,1183
Break Blade 2: Ketsubetsu no Michi,Movie,1,Finished Airing,6/26/2010,null,null,null,"{klockworx,flex comix,fields}",{sentai filmworks},"Production I.G,Xebec",Manga,"{action,fantasy,mecha,military,shounen}",51,R,7.82,31941,50069,23
Captain Tsubasa (2018),TV,null,Currently Airing,4/3/2018,null,Spring,2,null,{viz media},David Production,Manga,"{action,sports,shounen}",22,G,7.82,3214,23997,56
Da Yu Hai Tang,Movie,1,Finished Airing,7/8/2016,null,null,null,"{enlight pictures,studio mir}",null,B&T,Original,"{adventure,drama,romance,supernatural}",100,PG-13,7.82,2244,13635,54
Detective Conan Movie 10: Promo Special,Special,1,Finished Airing,null,null,null,null,null,null,TMS Entertainment,-,"{adventure,police,comedy,mystery,shounen}",23,PG-13,7.82,2090,5388,6
Dragon Ball Z Special 2: Zetsubou e no Hankou!! Nokosareta Chousenshi - Gohan to Trunks,Special,1,Finished Airing,2/24/1993,null,null,null,null,{funimation},Toei Animation,Manga,"{adventure,drama,fantasy,shounen}",48,PG-13,7.82,35898,55329,170
Hellsing I: Digest for Freaks,OVA,1,Finished Airing,1/22/2006,null,null,null,null,null,Satelight,Manga,"{action,super power,military,supernatural,horror,vampire,seinen}",28,R,7.82,8917,25372,68
Macross F: Close Encounter - Deculture Edition,Special,1,Finished Airing,12/23/2007,null,null,null,null,null,Satelight,Original,"{action,mecha,military,music,sci-fi,space}",27,PG-13,7.82,4705,9831,6
Naruto: Shippuuden Movie 6 - Road to Ninja,Movie,1,Finished Airing,7/28/2012,null,null,null,"{tv tokyo,aniplex,dentsu,toho,shueisha}",{viz media},Studio Pierrot,Manga,"{action,super power,adventure,martial arts,shounen}",109,PG-13,7.82,75867,124107,223
Nisekoi,TV,20,Finished Airing,1/11/2014,5/24/2014,Winter,6,"{aniplex,mainichi broadcasting system,shueisha}",{aniplex of america},Shaft,Manga,"{harem,comedy,romance,school,shounen}",24,PG-13,7.82,283061,501394,7660
Piano no Mori,Movie,1,Finished Airing,7/21/2007,null,null,null,"{sony music entertainment,cyclone graphics inc}",null,Madhouse,Manga,"{adventure,music,comedy,drama,school,seinen}",100,G,7.82,14165,34737,94
School Rumble Ichi Gakki Hoshuu,OVA,2,Finished Airing,12/22/2005,null,null,null,{studio jack},{funimation},Studio Comet,Manga,"{comedy,romance,school,shounen}",25,PG-13,7.82,26878,44935,107
Seikai no Senki,TV,13,Finished Airing,4/14/2000,7/14/2000,Spring,null,"{bandai visual,wowow,bestack}","{funimation,bandai entertainment}",Sunrise,Light novel,"{action,military,romance,sci-fi,space}",25,PG-13,7.82,10427,21782,227
Seitokai Yakuindomo*,TV,13,Finished Airing,1/4/2014,3/30/2014,Winter,null,{starchild records},null,GoHands,4-koma manga,"{slice of life,comedy,school,shounen}",23,R,7.82,68504,134600,398
Uchuu Kaizoku Captain Herlock,TV,42,Finished Airing,3/14/1978,2/13/1979,Spring,2,{studio nue},{discotek media},Toei Animation,Manga,"{action,sci-fi,adventure,space,drama,seinen}",25,PG-13,7.82,5312,19701,233
Bungou Stray Dogs,TV,12,Finished Airing,4/7/2016,6/23/2016,Spring,4,"{lantis,movic,klockworx,bandai namco live creative,glovision,lawson hmv entertainment,sony pcl}","{funimation,crunchyroll}",Bones,Manga,"{action,mystery,comedy,supernatural,seinen}",23,R,7.81,159169,337790,4508
Death Note: Rewrite,Special,2,Finished Airing,8/31/2007,8/22/2008,null,null,{shueisha},{viz media},Madhouse,Manga,"{mystery,police,psychological,supernatural,thriller}",112,R,7.81,51603,108947,501
Detective Conan Movie 19: The Hellfire Sunflowers,Movie,1,Finished Airing,4/18/2015,null,null,null,null,null,TMS Entertainment,Manga,"{action,mystery,police,shounen}",112,PG-13,7.81,8159,14491,28
Hoozuki no Reitetsu 2nd Season: Sono Ni,TV,13,Currently Airing,4/8/2018,null,Spring,0,null,{sentai filmworks},Studio Deen,Manga,"{comedy,demons,fantasy,seinen,supernatural}",23,PG-13,7.81,593,7696,8
Kami nomi zo Shiru Sekai: Tenri-hen,OVA,2,Finished Airing,10/18/2012,12/18/2012,null,null,"{geneon universal entertainment,shogakukan}",{sentai filmworks},Manglobe,Manga,"{comedy,harem,romance,supernatural,shounen}",23,PG-13,7.81,53117,85414,87
Kimi to Boku.,TV,13,Finished Airing,10/4/2011,12/27/2011,Fall,null,"{tv tokyo,aniplex,square enix,nihon ad systems,movic,kimi to boku production partners}",null,J.C.Staff,Manga,"{comedy,drama,romance,school,shounen,slice of life}",24,PG-13,7.81,39142,107507,1107
Kuroko no Basket Movie 3: Winter Cup - Tobira no Mukou,Movie,1,Finished Airing,12/3/2016,null,null,null,null,null,Production I.G,Manga,"{comedy,sports,shounen}",88,PG-13,7.81,3166,11653,21
Kyoukai no Kanata Movie 1: I'll Be Here - Kako-hen,Movie,1,Finished Airing,3/14/2015,null,null,null,{shochiku},{sentai filmworks},Kyoto Animation,Light novel,"{action,supernatural,fantasy}",82,PG-13,7.81,29337,64191,142
Memories,Movie,3,Finished Airing,12/23/1995,null,null,null,"{bandai visual,shochiku,victor entertainment,kodansha}",{sony pictures entertainment},"Madhouse,Studio 4°C",Manga,"{sci-fi,horror,psychological,drama}",37,PG-13,7.81,21259,50225,272
Persona 3 the Movie 2: Midsummer Knight's Dream,Movie,1,Finished Airing,6/7/2014,null,null,null,"{aniplex,atlus}",{aniplex of america},A-1 Pictures,Game,"{action,supernatural,fantasy}",98,R,7.81,19933,40323,126
Persona 5 the Animation,TV,24,Currently Airing,4/8/2018,null,Spring,0,{cloverworks},{aniplex of america},A-1 Pictures,Game,"{action,supernatural,fantasy}",24,R,7.8,6768,75083,249
Princess Sara,TV,46,Finished Airing,1/6/1985,12/29/1985,Winter,0,null,null,Nippon Animation,Novel,"{slice of life,historical,drama,shoujo}",25,G,7.81,5319,10121,55
Seikai no Senki III,OVA,2,Finished Airing,8/6/2005,null,null,null,"{bandai visual,bestack}",null,Sunrise,Light novel,"{action,military,romance,sci-fi,space}",37,PG-13,7.81,6709,12591,46
Sidonia no Kishi,TV,12,Finished Airing,4/11/2014,6/27/2014,Spring,null,"{starchild records,mainichi broadcasting system,kodansha,klockworx}",{sentai filmworks},Polygon Pictures,Manga,"{action,mecha,sci-fi,seinen,space}",24,R,7.81,75176,152622,1248
Tetsuwan Birdy Decode:02,TV,12,Finished Airing,1/10/2009,3/28/2009,Winter,6,"{aniplex,shogakukan}",{funimation},A-1 Pictures,Manga,"{action,sci-fi,comedy}",23,R,7.81,17640,34901,203
Wakakusa Monogatari: Nan to Jo-sensei,TV,40,Finished Airing,1/17/1993,12/19/1993,Winter,0,null,null,Nippon Animation,-,"{drama,historical,school,slice of life}",25,G,7.81,1559,3450,15
Akame ga Kill!,TV,24,Finished Airing,7/7/2014,12/15/2014,Summer,1,"{square enix,toho animation}",{sentai filmworks},White Fox,Manga,"{action,adventure,drama,fantasy,shounen}",23,R,7.8,467037,762315,14292
Bungou Stray Dogs: Hitori Ayumu,OVA,1,Finished Airing,8/4/2017,null,null,null,null,null,Bones,Manga,"{action,mystery,supernatural,seinen}",23,PG-13,7.8,10366,33454,61
Chi's Sweet Home,TV,104,Finished Airing,3/31/2008,9/25/2008,Spring,null,"{tv tokyo,hakuhodo dy media partners}",{discotek media},Madhouse,Manga,"{comedy,slice of life}",3,G,7.8,16486,43141,381
Digimon Adventure: Bokura no War Game!,Movie,1,Finished Airing,3/4/2000,null,null,null,null,{saban entertainment},Toei Animation,Original,"{sci-fi,adventure,comedy,kids}",40,PG,7.8,28931,45740,165
Giovanni no Shima,Movie,1,Finished Airing,2/22/2014,null,null,null,{warner bros.},null,Production I.G,Original,"{drama,historical}",102,PG-13,7.8,5189,15328,41
Go! Princess Precure,TV,50,Finished Airing,2/1/2015,1/31/2016,Winter,0,null,null,Toei Animation,Original,"{action,comedy,fantasy,magic,school,shoujo,slice of life}",24,G,7.8,2304,7323,151
Hachimitsu to Clover Specials,Special,2,Finished Airing,12/23/2005,2/24/2006,null,null,null,{viz media},J.C.Staff,Manga,"{comedy,drama,josei,romance,slice of life}",22,PG-13,7.8,12694,23269,54
Hakuouki Sekkaroku,OVA,6,Finished Airing,8/5/2011,6/27/2012,null,null,null,{sentai filmworks},Studio Deen,Visual novel,"{action,historical,demons,drama,fantasy,josei}",23,PG-13,7.8,7626,18237,78
Kill la Kill Specials,Special,2,Finished Airing,9/3/2014,null,null,null,"{aniplex,kadokawa shoten}",{aniplex of america},Trigger,Original,"{action,comedy,super power,school}",18,R,7.8,65780,109987,186
Kuroko no Basket NG-shuu,Special,9,Finished Airing,7/27/2012,3/22/2013,null,null,null,null,Production I.G,-,"{comedy,school,shounen,sports}",4,PG-13,7.8,21376,39668,64
Kuroko no Basket: Mou Ikkai Yarimasen ka,Special,1,Finished Airing,6/20/2014,null,null,null,null,null,Production I.G,Manga,"{comedy,school,shounen,sports}",24,PG-13,7.8,13497,26491,24
One Piece: Episode of Luffy - Hand Island no Bouken,Special,1,Finished Airing,12/15/2012,null,null,null,null,null,Toei Animation,Manga,"{action,adventure,comedy,super power,fantasy,shounen}",102,PG-13,7.8,15543,27698,23
Owari no Seraph: Nagoya Kessen-hen,TV,12,Finished Airing,10/10/2015,12/26/2015,Fall,6,"{nbcuniversal entertainment japan,shueisha}",{funimation},Wit Studio,Manga,"{action,military,supernatural,drama,vampire,shounen}",23,R,7.8,176465,302074,1760
Pokemon XY&Z,TV,47,Finished Airing,10/29/2015,10/27/2016,Fall,4,null,{the pokemon company international},OLM,Game,"{action,adventure,comedy,kids,fantasy}",23,PG,7.8,15824,30675,355
Romeo x Juliet,TV,24,Finished Airing,4/5/2007,9/26/2007,Spring,null,"{gdh,kadokawa shoten,cbc,sky perfect well think,happinet pictures,sotsu music publishing}",{funimation},Gonzo,Book,"{drama,fantasy,historical,romance}",24,PG-13,7.8,47936,115047,1127
Rozen Maiden: Ouvertüre,Special,2,Finished Airing,12/23/2006,12/24/2006,null,null,{mellow head},{sentai filmworks},Nomad,Manga,"{action,comedy,drama,magic,seinen}",24,PG-13,7.8,28655,48583,230
Shigatsu wa Kimi no Uso: Moments,OVA,1,Finished Airing,5/15/2015,null,null,null,null,null,A-1 Pictures,Manga,"{music,shounen}",23,PG-13,7.8,32401,57669,119
Soredemo Sekai wa Utsukushii,TV,12,Finished Airing,4/6/2014,6/29/2014,Spring,null,"{vap,hakusensha,nippon television network}",{sentai filmworks},Studio Pierrot,Manga,"{adventure,romance,fantasy,shoujo}",22,PG-13,7.8,68791,144490,1273
Aikatsu Stars!,TV,100,Finished Airing,4/7/2016,3/29/2018,Spring,4,{tv tokyo},null,Bandai Namco Pictures,Original,"{music,slice of life,school,shoujo}",24,PG,7.79,1226,8722,148
"Akagami no Shirayuki-hime: Nandemonai Takaramono, Kono Page",OVA,1,Finished Airing,1/5/2016,null,null,null,null,null,Bones,Manga,"{drama,fantasy,romance,shoujo}",24,PG-13,7.79,16706,33741,89
Chibi Maruko-chan,TV,142,Finished Airing,1/7/1990,9/27/1992,Winter,null,{fuji tv},null,Nippon Animation,Manga,"{comedy,slice of life,shoujo}",23,G,7.79,2441,6133,62
Hetalia World Series Specials,Special,4,Finished Airing,3/25/2011,9/24/2012,null,null,{frontier works},{funimation},Studio Deen,Web manga,"{comedy,historical,parody}",5,PG-13,7.79,8039,17082,59
Hidamari Sketch x 365 Specials,Special,3,Finished Airing,3/25/2009,10/24/2009,null,null,{lantis},{sentai filmworks},Shaft,4-koma manga,"{slice of life,comedy,school,seinen}",24,PG-13,7.79,6332,12115,9
Hourou Musuko,TV,11,Finished Airing,1/14/2011,4/1/2011,Winter,5,"{aniplex,aic,dentsu,fuji tv,magic capsule,enterbrain,fuji pacific music publishing}",null,AIC Classic,Manga,"{slice of life,drama,romance,school}",23,PG-13,7.79,24442,71133,710
Ichigo Mashimaro OVA,OVA,3,Finished Airing,2/23/2007,4/25/2007,null,null,null,{sentai filmworks},Daume,4-koma manga,"{comedy,school,slice of life}",25,PG-13,7.79,9721,16733,20
JoJo no Kimyou na Bouken: Phantom Blood,Movie,1,Finished Airing,2/17/2007,null,null,null,{bandai},null,APPP,Manga,"{action,adventure,horror,shounen,vampire}",90,R,7.79,4262,14883,241
