Title,Type,Episodes,Status,Start airing,End airing,Starting season,Broadcast time,Producers,Licensors,Studios,Sources,Genres,Duration,Rating,Score,Scored by,Members,Favorites
Ookiku Furikabutte,TV,25,Finished Airing,4/13/2007,9/28/2007,Spring,null,"{aniplex,mainichi broadcasting system,tbs,kodansha,movic,rakuonsha}",{funimation},A-1 Pictures,Manga,"{comedy,sports}",25,PG-13,8.06,25213,60097,1468
Overlord,TV,13,Finished Airing,7/7/2015,9/29/2015,Summer,2,"{at-x,grooove,hakuhodo dy music & pictures,kadokawa}",{funimation},Madhouse,Light novel,"{action,game,adventure,supernatural,magic,fantasy}",24,R,8.06,265500,461796,7196
SKET Dance OVA,OVA,1,Finished Airing,2/4/2013,null,null,null,{shueisha},null,Tatsunoko Production,Manga,"{comedy,school,shounen}",27,PG-13,8.06,7688,14370,14
Tennis no Ouji-sama: Zenkoku Taikai-hen,OVA,13,Finished Airing,3/24/2006,3/23/2007,null,null,"{production i.g,shueisha}",null,M.S.C,-,"{action,comedy,sports,shounen}",23,PG-13,8.06,17474,30037,89
Tiger & Bunny,TV,25,Finished Airing,4/3/2011,9/18/2011,Spring,null,"{bandai visual,mainichi broadcasting system,tohokushinsha film corporation}",{viz media},Sunrise,Original,"{action,mystery,comedy,super power}",24,PG-13,8.06,54428,136420,2431
Ushio to Tora (TV) 2nd Season,TV,13,Finished Airing,4/1/2016,6/24/2016,Spring,5,"{sotsu,showgate,tokuma japan communications,daiichi shokai co., ltd}",{sentai filmworks},MAPPA,Manga,"{action,adventure,comedy,demons,supernatural,shounen}",24,PG-13,8.06,32574,66409,241
Darker than Black: Kuro no Keiyakusha Gaiden,Special,4,Finished Airing,1/27/2010,7/21/2010,null,null,{square enix},{funimation},Bones,Original,"{action,sci-fi,mystery,super power}",24,R,8.05,98392,167915,781
Darling in the FranXX,TV,24,Currently Airing,1/13/2018,null,Winter,6,"{aniplex,khara,movic,ultra super pictures,lucent pictures entertainment,tokyo mx,nagoya tv housou,asahi broadcasting,bs11,lawson,abc animation}",{funimation},"A-1 Pictures,Trigger,CLOVERWORKS",Original,"{sci-fi,drama,mecha}",24,PG-13,8.05,59735,233527,3264
Detective Conan OVA 09: The Stranger in 10 Years...,OVA,1,Finished Airing,6/17/2009,null,null,null,null,null,TMS Entertainment,Manga,"{adventure,comedy,mystery,police,shounen}",22,PG-13,8.05,6663,12336,13
Drifters,TV,12,Finished Airing,10/7/2016,12/23/2016,Fall,5,"{hoods entertainment,nbcuniversal entertainment japan,shounen gahousha}",{funimation},Hoods Drifters Studio,Manga,"{action,adventure,comedy,historical,samurai,fantasy,seinen}",23,R,8.05,114672,236940,1776
Eyeshield 21,TV,145,Finished Airing,4/6/2005,3/19/2008,Spring,null,"{tv tokyo,nihon ad systems,tv tokyo music,shueisha}",{sentai filmworks},Studio Gallop,Manga,"{action,sports,comedy,shounen}",23,PG-13,8.05,48407,105607,1638
Fate/kaleid liner Prisma☆Illya Movie: Sekka no Chikai,Movie,1,Finished Airing,8/26/2017,null,null,null,null,null,Silver Link.,Manga,"{action,comedy,fantasy,magic}",89,PG-13,8.05,8290,28627,104
Full Moon wo Sagashite,TV,52,Finished Airing,4/6/2002,3/29/2003,Spring,6,{nihon ad systems},{viz media},Studio Deen,Manga,"{music,comedy,supernatural,drama,romance,shoujo}",24,PG-13,8.05,31027,70435,1553
High☆Speed!: Free! Starting Days,Movie,1,Finished Airing,12/5/2015,null,null,null,"{shochiku,asahi broadcasting,i will}",{funimation},Kyoto Animation,Light novel,"{school,slice of life,sports}",110,PG-13,8.05,14013,37789,156
